书名,作者,标题,内容,评分,日期,内容_处理后
平凡的世界,阳光少年,有点失望,书的装帧精美，内容更是精彩绝伦。,5星,2025-08-17,书的装帧精美内容更是精彩绝伦
红楼梦,阳光少年,引人深思,书的内容还可以，但是感觉有些地方写得不够深入。,3星,2025-10-14,书的内容还可以但是感觉有些地方写得不够深入
白夜行,记者,必读好书,整体来说还不错，就是节奏有点慢，需要耐心读下去。,4星,2025-03-20,整体来说还不错就是节奏有点慢需要耐心读下去
百年孤独,大学生,还可以,非常棒的一本书，值得每个人都读一读。,5星,2025-01-23,非常棒的一本书值得每个人都读一读
三体,上班族,很喜欢,读起来很流畅，故事很吸引人，一口气就读完了。,5星,2025-03-23,读起来很流畅故事很吸引人一口气就读完了
百年孤独,爱读书的猫,不推荐,看了好几遍，每次都有新的感悟。这是一本可以反复阅读的经典之作。,4星,2025-06-03,看了好几遍每次都有新的感悟这是一本可以反复阅读的经典之作
原则,张三,非常好看,故事感人至深，让我流了好几次眼泪。,4星,2025-05-09,故事感人至深让我流了好几次眼泪
平凡的世界,医生,非常好看,这是我今年读过最好的一本书，强烈推荐！,5星,2025-02-28,这是我今年读过最好的一本书强烈推荐
红楼梦,程序员,感人至深,读了一半，感觉还行，但没有想象中那么精彩。,3星,2024-12-06,读了一半感觉还行但没有想象中那么精彩
白夜行,上班族,惊喜之作,书的质量一般，而且有些错别字。,1星,2024-12-14,书的质量一般而且有些错别字
人类简史,医生,有点失望,这本书改变了我的很多想法，非常有启发性。感谢作者！,5星,2025-04-10,这本书改变了我的很多想法非常有启发性感谢作者
1984,工程师,非常好看,作者的见解独到，文字功底深厚，值得细细品味。,5星,2025-07-07,作者的见解独到文字功底深厚值得细细品味
白夜行,医生,一般般,内容丰富，逻辑清晰，是一本不可多得的好书。,5星,2025-11-13,内容丰富逻辑清晰是一本不可多得的好书
活着,书虫一枚,必读好书,整体还可以，就是有些地方感觉有点啰嗦。,3星,2025-11-22,整体还可以就是有些地方感觉有点啰嗦
追风筝的人,小明,一般般,非常值得一读的好书，给我带来了很多思考和启发。五星好评！,5星,2025-05-22,非常值得一读的好书给我带来了很多思考和启发五星好评
小王子,文艺范,非常好看,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,5星,2025-01-11,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
人类简史,文学青年,超出预期,期望太高，结果有点失望。,3星,2024-12-11,期望太高结果有点失望
小王子,程序员,很喜欢,这本书改变了我的很多想法，非常有启发性。感谢作者！,4星,2025-01-10,这本书改变了我的很多想法非常有启发性感谢作者
红楼梦,程序员,浪费时间,翻译得不太好，读起来很别扭。,1星,2025-03-24,翻译得不太好读起来很别扭
1984,学生党,超出预期,期望太高，结果有点失望。,3星,2025-06-19,期望太高结果有点失望
红楼梦,知识分子,不推荐,读完之后内心久久不能平静，作者的文笔太棒了，每个细节都描写得很到位。,4星,2025-06-09,读完之后内心久久不能平静作者的文笔太棒了每个细节都描写得很到位
原则,梦想家,浪费时间,书的质量一般，而且有些错别字。,2星,2025-01-26,书的质量一般而且有些错别字
